timestamp,close
1774359000,651.52
1774359060,652.27
1774359120,652.22
1774359180,652.44
1774359240,652.79
1774359300,652.37
1774359360,651.94
1774359420,651.87
1774359480,652.11
1774359540,651.3
1774359600,650.8
1774359660,649.89
1774359720,651.24
1774359780,650.8
1774359840,650.73
1774359900,650.86
1774359960,651.51
1774360020,651.09
1774360080,650.57
1774360140,650.18
1774360200,650.08
1774360260,650.11
1774360320,650.76
1774360380,650.7
1774360440,650.35
1774360500,650.6
1774360560,650.88
1774360620,651.28
1774360680,651.29
1774360740,651.48
1774360800,652.08
1774360860,651.82
1774360920,652.05
1774360980,652.02
1774361040,652.32
1774361100,651.75
1774361160,652.32
1774361220,653.25
1774361280,653.1
1774361340,653.41
1774361400,653.14
1774361460,652.84
1774361520,652.46
1774361580,651.89
1774361640,652.61
1774361700,652.34
1774361760,651.74
1774361820,652.19
1774361880,652.4
1774361940,652.57
1774362000,652.55
1774362060,652.72
1774362120,651.83
1774362180,652.28
1774362240,652.31
1774362300,651.99
1774362360,652.45
1774362420,653.19
1774362480,653.16
1774362540,652.49
1774362600,652.73
1774362660,652.96
1774362720,653.11
1774362780,653.27
1774362840,653.35
1774362900,653.16
1774362960,652.59
1774363020,652.56
1774363080,652.61
1774363140,652.71
1774363200,653.19
1774363260,653.18
1774363320,653.59
1774363380,653.21
1774363440,653.74
1774363500,652.7
1774363560,653.99
1774363620,653.44
1774363680,653.49
1774363740,652.75
1774363800,652.28
1774363860,654.57
1774363920,654.8
1774363980,655.32
1774364040,654.43
1774364100,654.94
1774364160,655.42
1774364220,655.33
1774364280,654.64
1774364340,653.94
1774364400,654.99
1774364460,655.2
1774364520,655.16
1774364580,655.14
1774364640,654.92
1774364700,654.84
1774364760,654.96
1774364820,655.17
1774364880,654.88
1774364940,654.92
1774365000,654.81
1774365060,655.18
1774365120,655.14
1774365180,655.01
1774365240,655.25
1774365300,655.54
1774365360,655.83
1774365420,655.22
1774365480,655.65
1774365540,655.7
1774365600,655.72
1774365660,655.94
1774365720,656.07
1774365780,655.93
1774365840,656.38
1774365900,656.78
1774365960,656.45
1774366020,656.08
1774366080,656.0
1774366140,656.04
1774366200,656.02
1774366260,655.75
1774366320,655.56
1774366380,655.34
1774366440,655.74
1774366500,655.87
1774366560,656.06
1774366620,656.32
1774366680,656.32
1774366740,656.27
1774366800,656.4
1774366860,656.29
1774366920,656.1
1774366980,656.12
1774367040,656.24
1774367100,656.29
1774367160,656.36
1774367220,656.22
1774367280,656.51
1774367340,656.56
1774367400,656.63
1774367460,656.94
1774367520,656.85
1774367580,656.52
1774367640,656.44
1774367700,655.94
1774367760,655.18
1774367820,655.02
1774367880,655.23
1774367940,655.04
1774368000,655.09
1774368060,654.73
1774368120,654.79
1774368180,654.73
1774368240,654.68
1774368300,654.52
1774368360,654.53
1774368420,654.76
1774368480,654.64
1774368540,655.09
1774368600,655.1
1774368660,654.76
1774368720,654.87
1774368780,654.82
1774368840,655.0
1774368900,655.3
1774368960,655.92
1774369020,655.95
1774369080,655.76
1774369140,655.91
1774369200,655.78
1774369260,655.78
1774369320,656.18
1774369380,656.1
1774369440,656.01
1774369500,655.68
1774369560,655.75
1774369620,655.98
1774369680,655.96
1774369740,655.96
1774369800,655.76
1774369860,655.91
1774369920,655.94
1774369980,655.58
1774370040,655.43
1774370100,654.85
1774370160,654.83
1774370220,654.43
1774370280,654.5
1774370340,654.18
1774370400,654.28
1774370460,654.51
1774370520,654.67
1774370580,655.1
1774370640,655.25
1774370700,655.64
1774370760,655.44
1774370820,655.42
1774370880,655.0
1774370940,655.08
1774371000,655.26
1774371060,655.4
1774371120,655.57
1774371180,655.38
1774371240,655.08
1774371300,654.71
1774371360,655.24
1774371420,654.85
1774371480,655.03
1774371540,655.15
1774371600,655.34
1774371660,655.29
1774371720,654.78
1774371780,654.06
1774371840,653.59
1774371900,652.89
1774371960,653.35
1774372020,653.36
1774372080,653.25
1774372140,653.02
1774372200,652.95
1774372260,653.12
1774372320,652.62
1774372380,653.02
1774372440,652.94
1774372500,652.99
1774372560,652.84
1774372620,652.65
1774372680,652.72
1774372740,652.82
1774372800,653.07
1774372860,653.08
1774372920,653.06
1774372980,653.26
1774373040,653.05
1774373100,653.08
1774373160,653.0
1774373220,653.07
1774373280,653.44
1774373340,653.41
1774373400,653.85
1774373460,654.0
1774373520,653.62
1774373580,653.08
1774373640,652.96
1774373700,652.97
1774373760,652.97
1774373820,653.38
1774373880,653.14
1774373940,653.38
1774374000,653.37
1774374060,653.26
1774374120,652.74
1774374180,652.69
1774374240,652.59
1774374300,652.61
1774374360,652.68
1774374420,652.79
1774374480,652.9
1774374540,652.85
1774374600,652.86
1774374660,652.86
1774374720,653.02
1774374780,653.01
1774374840,653.15
1774374900,653.71
1774374960,653.83
1774375020,653.85
1774375080,654.28
1774375140,654.3
1774375200,654.56
1774375260,654.3
1774375320,654.38
1774375380,654.23
1774375440,654.26
1774375500,654.32
1774375560,654.2
1774375620,654.29
1774375680,653.92
1774375740,653.79
1774375800,653.69
1774375860,654.02
1774375920,653.92
1774375980,653.76
1774376040,653.82
1774376100,653.6
1774376160,653.61
1774376220,653.41
1774376280,653.49
1774376340,654.04
1774376400,654.03
1774376460,654.13
1774376520,653.81
1774376580,653.88
1774376640,654.1
1774376700,654.36
1774376760,654.47
1774376820,654.85
1774376880,654.38
1774376940,654.59
1774377000,654.43
1774377060,655.18
1774377120,655.3
1774377180,655.06
1774377240,654.96
1774377300,655.38
1774377360,655.35
1774377420,655.4
1774377480,656.08
1774377540,656.51
1774377600,656.36
1774377660,655.35
1774377720,655.22
1774377780,655.19
1774377840,655.32
1774377900,655.14
1774377960,655.15
1774378020,654.92
1774378080,654.88
1774378140,655.02
1774378200,655.05
1774378260,655.16
1774378320,655.34
1774378380,655.23
1774378440,655.24
1774378500,654.91
1774378560,654.75
1774378620,654.68
1774378680,654.79
1774378740,654.86
1774378800,655.36
1774378860,655.31
1774378920,655.19
1774378980,655.24
1774379040,655.13
1774379100,655.2
1774379160,655.19
1774379220,655.0
1774379280,655.1
1774379340,655.31
1774379400,655.27
1774379460,655.38
1774379520,655.4
1774379580,655.45
1774379640,655.65
1774379700,655.56
1774379760,655.43
1774379820,655.16
1774379880,655.09
1774379940,655.22
1774380000,655.16
1774380060,655.06
1774380120,654.99
1774380180,654.96
1774380240,655.05
1774380300,654.91
1774380360,654.77
1774380420,654.65
1774380480,654.4
1774380540,654.45
1774380600,654.49
1774380660,654.47
1774380720,654.32
1774380780,654.37
1774380840,654.11
1774380900,653.72
1774380960,653.88
1774381020,654.02
1774381080,653.93
1774381140,653.98
1774381200,653.95
1774381260,654.0
1774381320,654.22
1774381380,653.99
1774381440,653.82
1774381500,653.53
1774381560,653.33
1774381620,653.35
1774381680,653.43
1774381740,653.55
1774381800,653.32
1774381860,653.09
1774381920,652.98
1774381980,652.85
1774382040,652.87
1774382100,652.76
1774382160,652.83
1774382220,652.66
1774382280,652.79
1774382340,653.2
